"title_vec"	"p_value"	"TransmissionRate"	"adj_p_value"	"p_value_sq"	"adj_p_value_sq"	"TotalKernelFull"	"TotalKernelEnds"
"X434L-1x402_inference.xml"	0.1861850045397	0.55421686746988	0.989972281273887	0.405904767011612	0.967389420544696	166	150
"A227-2x102.xml"	0.188653691151401	0.488272921108742	0.989972281273887	0.193523863940083	0.927404175584542	469	425
"A31-4x102_inference.xml"	0.189111383291427	0.519230769230769	0.989972281273887	0.38685124817758	0.967389420544696	312	277
"A25A-_x102_inference.xml"	0.189170974111698	0.503875968992248	0.989972281273887	0.418282507765672	0.967389420544696	387	354
"X456L-3x402_inference.xml"	0.190672067424546	0.496598639455782	0.989972281273887	0.437215534166952	0.968782919435044	147	132
"Z255-1x1.xml"	0.190812812544135	0.48780487804878	0.989972281273887	0.367539699541236	0.967389420544696	123	115
"X447-3x402_inference.xml"	0.19213232104374	0.495798319327731	0.989972281273887	0.408464346733084	0.967389420544696	357	344
"X441L-3x402_inference.xml"	0.192399065221856	0.492063492063492	0.989972281273887	0.00923081699755707	0.707554087208507	252	237
"X494-4x402_inference.xml"	0.196066551407039	0.50462962962963	0.989972281273887	0.367586093425208	0.967389420544696	432	398
"A40-3x102_inference.xml"	0.199375148130151	0.5	0.989972281273887	0.0885679533045866	0.861077323794592	442	413
"A50-1x102_inference.xml"	0.202558872624404	0.508771929824561	0.989972281273887	0.245956083862051	0.967389420544696	399	370
"Y231-5x1_inference.xml"	0.202793178647968	0.501298701298701	0.989972281273887	0.170582445815821	0.927404175584542	385	353
"Y53-4x1_inference.xml"	0.203760108202916	0.463730569948187	0.989972281273887	0.424558539654233	0.967389420544696	386	360
"Y37-5x1.xml"	0.203983278471339	0.481884057971014	0.989972281273887	0.0922842305941728	0.878251918339682	276	256
"Y66-10x1_inference.xml"	0.204497869975386	0.492574257425743	0.989972281273887	0.428461521685763	0.967389420544696	404	376
"Y69-5x1_inference.xml"	0.204582294294673	0.517453798767967	0.989972281273887	0.415963260399344	0.967389420544696	487	448
"X432L-3x402_inference.xml"	0.20737643247329	0.445026178010471	0.989972281273887	0.44361595631307	0.973451941752818	191	183
"Y50G-7x1_inference.xml"	0.209201735403493	0.487124463519313	0.989972281273887	0.255337378891042	0.967389420544696	466	427
"Y32-1x1_inference.xml"	0.213181568402366	0.531413612565445	0.989972281273887	0.454502577795063	0.978941552889941	382	352
